prefab,game_object,psys_id,duration,looping,emit_rate,lifetime,speed,size,gravity,shape,shape_type,shape_radius,shape_angle,color_over_lifetime,size_over_lifetime,velocity_over_lifetime,rotation_over_lifetime,texture_sheet,materials,textures,voxen_texture_indices,renderer_mode,renderer_length_scale,trail_lifetime,trail_width,features,unsupported
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,deathSubBurst (4),5141790193080436323,1,0,0,0.4,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,muzzleBurst1Black (1),5020959755593934015,1,0,0,0.6,0,5,0,point,0,1,25,"c0:(0.0069419737,0.008806274,0.11320752,0.41960785);a0:0.41960785;c1:(0.0069419737,0.008806274,0.11320752,0.41960785);a1:0.41960785",curve[0:1;0.3123:1;1:0.28181],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (2),3160318041679155853,1,0,0,0.3,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (1),2069115696156806394,1,0,0,0.3,0,1,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,deathSubBurst (1),4607160960833069260,1,0,0,0.4,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (2),6755277230274889619,1,0,0,0.3,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (1),7621203699894540149,1,0,0,0.3,0,1,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,deathSubBurst (3),7038406636305127112,1,0,0,0.4,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (1),2645769624041752198,1,0,0,0.3,0,1,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash,154379230168423110,1,0,0,0.3,0,2,0,point,0,1,25,"c0.3147:(1,0.7879717,0.5613208,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.59612;0.25484:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash,984629854756932082,1,0,0,0.3,0,2,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.59612;0.25484:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,muzzleBurst1Black,7327126967086059723,1,0,0,0.6,0,5,0,point,0,1,25,"c0:(0.0069419737,0.008806274,0.11320752,0.41960785);a0:0.41960785;c1:(0.0069419737,0.008806274,0.11320752,0.41960785);a1:0.41960785",curve[0:1;0.3123:1;1:0.28181],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (2),8697189821763565238,1,0,0,0.3,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash,7358033367877450163,1,0,0,0.3,0,1.5,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.59612;0.25484:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,muzzleBurst,7635650170293514636,1,0,0,0.6,0,1.2,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c0.50294:(0.1484375,0,1,1);a1:1;c1:(0.15217781,0,1,0)",curve[0:1;0.3123:1;1:0.28181],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,separate color/alpha key timing
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,eye,7210038504924956999,1,1,50,0.3,0,0.2,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth (2),8664929295830924709,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth,6805335591663459079,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,visibleMesh,5094507398225981564,1,1,5000,0.8,0,0.015,0,point(unity:6),0,1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:6),shape distribution/rotation; unsupported Unity shape type 6
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth (1),2682634074970246694,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth (4),2040250599852497927,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth (5),8437212587545528974,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,tooth (3),4018299162862362556,1,1,50,0.3,0,0.1,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyber_reaver.prefab,eye (1),8853505692214500105,1,1,50,0.3,0,0.2,0,point(unity:5),0,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyberdog.prefab,nose,1917191354863137681,1,1,100,0.3,0,0.08,0,point(unity:5),0,0.2,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:5),shape distribution/rotation; unsupported Unity shape type 5
Assets/Resources/Prefabs/npc_cyberdog.prefab,ear,6036758767538439545,1,1,30,0.3,0,0.08,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyberdog.prefab,ear (1),3729662626737795836,1,1,30,0.3,0,0.08,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyberdog.prefab,eye (1),7962710433573400137,1,1,10,0.3,0,0.2,0,sphere,1,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyberdog.prefab,eye,1710342704777710315,1,1,10,0.3,0,0.2,0,sphere,1,0.1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyberdog.prefab,mainfuzz,7957355176137075090,1,1,5000,0.3,0,0.04,0,point(unity:6),0,1,25,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:6),shape distribution/rotation; unsupported Unity shape type 6
Assets/Resources/Prefabs/npc_cybershodan.prefab,hook (1),1217107896500743880,1,1,3000,0.6..0.8,0,0.015,0,sphere,1,0.5,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cybershodan.prefab,centercore,7210038504924956999,1,1,5000,0.2..0.5,0.1,0.015,0,point(unity:17),0,0.3,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:17),shape distribution/rotation; unsupported Unity shape type 17
Assets/Resources/Prefabs/npc_cybershodan.prefab,centercore (1),5190039579076263587,1,1,5000,0.4..1,0.1,0.015,0,sphere,1,1,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cybershodan.prefab,visibleMesh,5094507398225981564,1,1,10000,0.6..0.8,0,0.05,0,point(unity:8),0,0.0001,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:point(unity:8),shape distribution/rotation; unsupported Unity shape type 8
Assets/Resources/Prefabs/npc_cybershodan.prefab,hook,6876613398872515881,1,1,3000,0.6..0.8,0,0.015,0,sphere,1,0.5,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cybershodan.prefab,hook (2),4438547492428232051,1,1,3000,0.6..0.8,0,0.015,0,sphere,1,0.5,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cybershodan.prefab,hook (3),1956629371451073621,1,1,3000,0.6..0.8,0,0.015,0,sphere,1,0.5,15,off,off,off,off,off,ef_onepixel_overlay,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_assassin.prefab,gunPoint,1513485164909075401,0.15,0,0,0.15,0,0.5,0,point,0,1,25,off,off,off,off,off,ef_particlefirework,ParticleFlare.png,589,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,sparksdribble,5594257394171754654,2.1466646,0,50,0.5,0,0.01,1,point(unity:10),0,0.05,25,off,off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:point(unity:10),shape distribution/rotation; unsupported Unity shape type 10
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,sparksdribble,4620693257291329084,2.1466646,0,50,0.5,0,0.01,1,point(unity:10),0,0.05,25,off,off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:point(unity:10),shape distribution/rotation; unsupported Unity shape type 10
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,teleportFX,8092239910951538054,2,0,10000,0.2..0.3,0,0.015,-0.5,point(unity:6),0,1,25,"c0:(1,1,1,1);a0:1;c1:(1,1,1,0.60784316);a0.61471:0.60784316;a1:0",off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:point(unity:6),shape distribution/rotation; unsupported Unity shape type 6; separate color/alpha key timing
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,redburst,7885929611475282720,0.32,0,250,0.22..0.32,2..3,0.01,0.2,sphere,1,0.05,25,off,off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,centerfluff,8431138725320986520,2,0,10000,0.2..0.3,0,0.015,-0.5,point(unity:6),0,1,25,"c0:(1,1,1,1);a0:1;c1:(1,1,1,0.60784316);a0.61471:0.60784316;a1:0",off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:point(unity:6),shape distribution/rotation; unsupported Unity shape type 6; separate color/alpha key timing
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,centerflare,1509398103754455179,2.1466646,0,0,1.7,0,0.5,0,point,0,0.05,25,off,curve[0:1;0.10264:0.94903;0.22293:1;0.32698:0.95146;0.43119:1;0.54985:0.95874;0.69107:1;0.82838:0.648;0.93121:0.60594;1:0.29854],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,centerflare,6866892145525862369,0.32,0,0,0.22..0.32,0,0.3,0,sphere,1,0.2,25,off,off,off,off,off,ef_particleshockwave,<none>,?,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,light,2833735615705105694,0.3,1,0,0.6,0,0.5,0,point,0,1,25,off,off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,centerflare,3587044155997947761,2.1466646,0,0,1.7,0,0.5,0,point,0,0.05,25,off,curve[0:1;0.10264:0.94903;0.22293:1;0.32698:0.95146;0.43119:0.81311;0.55425:0.89078;0.66324:0.61893;0.80348:0.48781;0.92975:0.42148;1:0.15291],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,light (1),7265162046127567570,0.3,1,0,0.6,0,0.5,0,point,0,1,25,off,off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_diego.prefab,deathBurst,4451593338797147299,0.32,0,500,0.22..0.32,2..3,0.01,0.2,sphere,1,0.05,25,off,off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_drone.prefab,gunPoint,1875192603114169451,0.15,0,0,0.1,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,squint (1),3452746142650287658,0.4347,1,0,0.4347,0,1,0,point,0,1,25,off,off,off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,squint,422858789764196213,0.4347,1,0,0.4347,0,0.8,0,point,0,1,25,off,off,off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,muzzflashes (2),6919862131301802931,0.749955,0,0,0.74996,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_maintbotmuzzleburst,npc_maintbotmuzzburst.png,566,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,muzzflashes (1),7389703125656275280,0.749955,0,0,0.74996,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_maintbotmuzzleburst,npc_maintbotmuzzburst.png,566,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,centerfocus,6234384361163928162,0.749955,0,0,0.75,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,muzzflashes,8374253222683225744,0.749955,0,0,0.74996,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_maintbotmuzzleburst,npc_maintbotmuzzburst.png,566,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,gunPoint,7795061463279694375,0.4347,1,0,0.4347,0,0.5,0,point,0,1,25,off,off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_elite.prefab,muzzflashes (3),6137002973972059217,0.749955,0,0,0.74996,0,0.2,0,point,0,1,25,off,off,off,off,off,ef_maintbotmuzzleburst,npc_maintbotmuzzburst.png,566,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_enforcer.prefab,deathBurst,6929013687473358739,0.4,0,250,0.22..0.32,2..3,0.01,0.6,sphere,1,0.05,25,off,off,off,off,off,ef_onepixelwhite,white.png,881,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_enforcer.prefab,gunPoint,2065159623769356078,0.5,0,0,0.2,0,0.5,0,point,0,1,25,off,curve[0:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_enforcer.prefab,squint,2355155016511800926,0.5,0,0,0.2,0,1,0,point,0,1,25,off,curve[0:1;1:0],off,off,off,ef_sec2botmuzzleburst1,Sec2MuzzleBurst1.png,792,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_enforcer.prefab,squint (1),165829661802549418,0.5,0,0,0.2,0,1,0,point,0,1,25,off,curve[0:1;1:0],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_enforcer.prefab,squint (2),1521051333560247543,0.5,0,0,0.2,0,0.8,0,point,0,1,25,off,curve[0:1;1:0],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_warrior.prefab,particle_drips,8446700757734729119,15,1,0,3,1..3,0.03,0.8,cone,2,0.02,25,"c0:(0.69803923,0,0.02745098,1);a0:1;c1:(0.654902,0,0.015686275,1);a1:1",off,off,off,off,ef_enemshot2bits,BurstTiny.png,69,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_warrior.prefab,particle_sec2muzburst2,5229777635934663502,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.7627636,0.7311321,1);a0:1;c1:(0.3962264,0.20081587,0.18503025,1);a1:1",curve[0:0.86885;1:0.5041],off,0,off,ef_sec2botmuzzleburst2,Sec2MuzzleBurst2.png,793,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_warrior.prefab,particle_sec2muzburst3,4259967797311288755,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.507272,0.4575472,1);a0:1;c1:(1,0.0254584,0,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cyborg_warrior.prefab,particle_sec2muzburst3 (1),1625199845207402559,1.5,1,0,1,0.5,0.6,0,cone,2,0.05,25,"c0.28235:(0.3018868,0.28238428,0.28052688,1);a0:1;c1:(0,0,0,1);a1:1",curve[0:0.86885;1:0],off,off,off,ef_particlesmokemobile,ParticleCloudWhite.png,583,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/npc_cyborg_warrior.prefab,particle_sec2muzburst,7176742681744723611,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(0.8773585,0.14092626,0.020692414,1);a0:1;c1:(0.3962264,0.34247947,0.33454967,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2,7129400566685742257,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.7627636,0.7311321,1);a0:1;c1:(0.3962264,0.20081587,0.18503025,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst (1),6105693024765926348,1.5,0,0,0.2,0,0.8,0,point,0,1,25,"c0.28235:(0.6981132,0.6981132,0.6981132,1);a0:1;c1:(0.41509432,0.41509432,0.41509432,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2,5908243594083547788,1.5,0,0,0.2,0,4,0,point,0,1,25,"c0.28235:(1,1,1,1);a0:1;c1:(0.39607844,0.38879183,0.18431371,0.48235294);a1:0.48235294",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_deathburst,3344640738619511503,1.5,0,0,0.2,0,3,0,point,0,1,25,"c0.28235:(0.6981132,0.6981132,0.6981132,1);a0:1;c1:(0.41509432,0.41509432,0.41509432,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst (3),23485972735430355,1.5,0,0,0.2,0,0.8,0,point,0,1,25,"c0.28235:(0.6981132,0.6981132,0.6981132,1);a0:1;c1:(0.41509432,0.41509432,0.41509432,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2 (1),320156585583636154,1.5,0,0,0.2,0,2.5,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c0.30588:(0.6650944,1,1,0);a1:0;c1:(0.39607844,0.38879183,0.18431371,1)",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,separate color/alpha key timing
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2,6802972851864061164,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.7627636,0.7311321,1);a0:1;c1:(0.3962264,0.20081587,0.18503025,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst (2),4546514724605684510,1.5,0,0,0.2,0,0.8,0,point,0,1,25,"c0.28235:(0.6981132,0.6981132,0.6981132,1);a0:1;c1:(0.41509432,0.41509432,0.41509432,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2,8892837186538809974,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.7627636,0.7311321,1);a0:1;c1:(0.3962264,0.20081587,0.18503025,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst (4),6852143018923780929,1.5,0,0,0.2,0,0.8,0,point,0,1,25,"c0.28235:(0.6981132,0.6981132,0.6981132,1);a0:1;c1:(0.41509432,0.41509432,0.41509432,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_sec2muzburst2,3039034589808836712,1.5,1,0,0.2,0,0.6,0,point,0,1,25,"c0.28235:(1,0.7627636,0.7311321,1);a0:1;c1:(0.3962264,0.20081587,0.18503025,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/npc_exec_bot.prefab,particle_bits,6354721472392779754,1.5,0,0,0.5,5,0.02,0,sphere,1,0.3,25,"c0.28235:(0.9215687,0.9215687,0.9686275,1);a0:1;c1:(0.20784315,0.19607845,0.1764706,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_onepixel,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_flier_bot.prefab,particle_muzburst4,20297540,1.5,0,0,0.5,0,0.5,0,point,0,1,25,"c0.28235:(1,0.77254903,0.5294118,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_flierbotmuzzleburst2,npc_flierbot_muzzleburst2.png,557,0,2,off,off,,
Assets/Resources/Prefabs/npc_flier_bot.prefab,particle_muzburst3,596984030,1.5,0,0,0.5,0,0.5,0,point,0,1,25,"c0.28235:(1,0.91764706,0.69803923,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_flierbotmuzzleburst1,npc_flierbot_muzzleburst1.png,556,0,2,off,off,,
Assets/Resources/Prefabs/npc_flier_bot.prefab,particle_muzburst2,978977029,1.5,0,0,0.5,0,0.5,0,point,0,1,25,"c0.28235:(1,0.77254903,0.5294118,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_flierbotmuzzleburst2,npc_flierbot_muzzleburst2.png,557,0,2,off,off,,
Assets/Resources/Prefabs/npc_flier_bot.prefab,centerumbra,1308804530,1.5,0,10,1.5,0,0.5,0,point,0,1,25,"c0:(1,0.989412,0.8160377,1);a0:1;c1:(0.24313726,0.065291904,0.039215676,0.88235295);a0.55883:0.88235295;a1:0",curve[0:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,separate color/alpha key timing
Assets/Resources/Prefabs/npc_flier_bot.prefab,particle_fliermuzburst,1583513071,1.5,0,0,0.5,0,0.5,0,point,0,1,25,"c0.28235:(1,0.91764706,0.69803923,1);a0:1;c1:(0.39215687,0.39215687,0.38431373,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_flierbotmuzzleburst1,npc_flierbot_muzzleburst1.png,556,0,2,off,off,,
Assets/Resources/Prefabs/npc_flier_bot.prefab,smoke,321266753880603137,1,0,50,0.5,5,0.4..0.8,0,cone,2,0.05,5,"c0:(1,1,1,1);a0:1;c1:(1,1,1,0);a1:0",curve[0:0.23287;1:1],off,off,off,ef_particlesmokeblack,ParticleCloudBlack.png,582,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/npc_flier_bot.prefab,particle_muzburst3,723324585652505672,1.5,0,0,0.5,0,0.5,0,point,0,1,25,"c0.28235:(1,0.91764706,0.69803923,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_flierbotmuzzleburst1,npc_flierbot_muzzleburst1.png,556,0,2,off,off,,
